player,bat_matches,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate_x,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes,Player,bowl_matches,innings_bowled,balls,overs,maidens_earned,conceded,wicket,best_innings_bowling,bowling_average,economy_rate,strike_rate_y,four_wickets,five_wickets,best_wickets,best_runs,field_matches,innings,catches,maximum_innings_catches,catches_per_innings,wk_matches,innings_as_keeper,dismissed,caught_as_a_keeper,stumpings,maximum_dismissals_per_innings,dismissials_per_innings
D Kharel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,2.0,7.0,1.1,0.0,15.0,1.0,1/9,15.0,12.85,7.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Kharel (POA),7.0,7.0,1.0,162.0,61.0,27.0,142.0,114.08,0.0,1.0,0.0,17.0,8.0,D Kharel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Nath ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
D Nath (POA),6.0,5.0,0.0,46.0,27.0,9.2,51.0,90.19,0.0,0.0,0.0,2.0,2.0,D Nath ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA Douthwaite ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,3.0,41.0,6.5,0.0,50.0,2.0,1/14,25.0,7.31,20.5,0.0,0.0,1.0,14.0,4.0,4.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA Douthwaite (KAG),4.0,4.0,1.0,42.0,21.0,14.0,52.0,80.76,0.0,0.0,0.0,2.0,2.0,DA Douthwaite ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Airee ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,7.0,150.0,25.0,0.0,175.0,9.0,3/29,19.44,7.0,16.66,0.0,0.0,3.0,29.0,9.0,9.0,3.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Airee (SPR),9.0,9.0,3.0,227.0,57.0,37.83,141.0,160.99,0.0,1.0,1.0,15.0,12.0,DS Airee ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Bajwa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Bajwa (SPR),1.0,1.0,0.0,12.0,12.0,12.0,16.0,75.0,0.0,0.0,0.0,1.0,0.0,DS Bajwa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Bohara ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,8.0,1.2,0.0,9.0,1.0,1/9,9.0,6.75,8.0,0.0,0.0,1.0,9.0,6.0,6.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Bohara (CHR),6.0,4.0,1.0,19.0,8.0,6.33,25.0,76.0,0.0,0.0,0.0,1.0,1.0,Deepak Bohara ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulsan Jha ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,4.0,48.0,8.0,0.0,63.0,1.0,1/31,63.0,7.87,48.0,0.0,0.0,1.0,31.0,9.0,9.0,6.0,4.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulsan Jha (KAY),9.0,9.0,2.0,132.0,49.0,18.85,120.0,110.0,0.0,0.0,2.0,7.0,9.0,Gulsan Jha ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H Dhami (JAB),2.0,1.0,0.0,9.0,9.0,9.0,11.0,81.81,0.0,0.0,0.0,1.0,0.0,H Dhami ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H Thaker ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,9.0,186.0,31.0,2.0,197.0,11.0,5/23,17.9,6.35,16.9,0.0,1.0,5.0,23.0,10.0,10.0,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H Thaker (JAB),10.0,9.0,4.0,138.0,30.0,27.6,147.0,93.87,0.0,0.0,0.0,9.0,3.0,H Thaker ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harmeet Singh ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,5.0,120.0,20.0,2.0,90.0,8.0,3/17,11.25,4.5,15.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harmeet Singh (SPR),5.0,3.0,0.0,28.0,14.0,9.33,21.0,133.33,0.0,0.0,0.0,0.0,2.0,Harmeet Singh ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassan Eisakhil ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassan Eisakhil (CHR),6.0,6.0,0.0,125.0,65.0,20.83,96.0,130.2,0.0,1.0,0.0,13.0,6.0,Hassan Eisakhil ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
